Format Version,1.22,Take Name,big_HJH2_fullset_Ground_FID_clean,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,08 Dec 1969 22:54:33 -0500,Total Frames in Take,6822,Total Exported Frames,6822,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.066667,0.077385,-0.330276,-0.940675,0.007771,-0.039952,1.365911,-0.279822,-0.057492,1.457556,-0.193436,-0.064238,1.488491,-0.154988,-0.103618,1.517279,-0.121150,-0.051544,1.542457,-0.086482,-0.057442,1.457583,-0.193399,-0.064325,1.488448,-0.155047,-0.095995,1.518270,-0.119833,-0.051508,1.542473,-0.086461,,,,,,,,,,,,,,,,-0.062973,1.287386,-0.475018,-0.007374,1.358984,-0.471990,0.048400,1.284118,-0.471011
17,0.070833,0.077564,-0.330447,-0.940603,0.007449,-0.039947,1.365860,-0.279826,-0.057489,1.457541,-0.193479,-0.064241,1.488492,-0.155044,-0.103625,1.517311,-0.121237,-0.051558,1.542473,-0.086548,-0.057443,1.457566,-0.193445,-0.064322,1.488452,-0.155099,-0.096005,1.518276,-0.119895,-0.051524,1.542488,-0.086528,,,,,,,,,,,,,,,,-0.062981,1.287378,-0.475015,-0.007370,1.358991,-0.471990,0.048395,1.284113,-0.471011
18,0.075000,0.077526,-0.330561,-0.940565,0.007536,-0.039952,1.365830,-0.279851,-0.057494,1.457531,-0.193525,-0.064245,1.488491,-0.155098,-0.103628,1.517313,-0.121293,-0.051560,1.542491,-0.086617,-0.057445,1.457557,-0.193489,-0.064330,1.488450,-0.155155,-0.096010,1.518285,-0.119962,-0.051525,1.542506,-0.086597,,,,,,,,,,,,,,,,-0.062980,1.287386,-0.475014,-0.007374,1.358993,-0.471990,0.048396,1.284109,-0.471010
19,0.079167,0.077438,-0.330644,-0.940540,0.007853,-0.039936,1.365808,-0.279887,-0.057495,1.457519,-0.193575,-0.064248,1.488484,-0.155152,-0.103634,1.517293,-0.121340,-0.051566,1.542506,-0.086689,-0.057444,1.457547,-0.193537,-0.064336,1.488441,-0.155212,-0.096018,1.518285,-0.120027,-0.051530,1.542521,-0.086668,,,,,,,,,,,,,,,,-0.062978,1.287384,-0.475005,-0.007381,1.358983,-0.471990,0.048389,1.284111,-0.471007
20,0.083333,0.077561,-0.330833,-0.940466,0.007618,-0.039937,1.365749,-0.279888,-0.057495,1.457499,-0.193616,-0.064251,1.488481,-0.155207,-0.103639,1.517318,-0.121421,-0.051576,1.542523,-0.086758,-0.057447,1.457526,-0.193580,-0.064334,1.488438,-0.155266,-0.096027,1.518290,-0.120087,-0.051541,1.542538,-0.086738,,,,,,,,,,,,,,,,-0.062979,1.287381,-0.475010,-0.007384,1.358981,-0.471987,0.048389,1.284116,-0.471006
21,0.087500,0.077596,-0.330977,-0.940413,0.007483,-0.039951,1.365702,-0.279908,-0.057500,1.457481,-0.193665,-0.064254,1.488475,-0.155266,-0.103641,1.517331,-0.121495,-0.051577,1.542533,-0.086831,-0.057449,1.457509,-0.193627,-0.064342,1.488434,-0.155324,-0.096025,1.518301,-0.120154,-0.051541,1.542547,-0.086812,,,,,,,,,,,,,,,,-0.062986,1.287397,-0.475008,-0.007382,1.358991,-0.471982,0.048390,1.284117,-0.470998
22,0.091667,0.077687,-0.331117,-0.940358,0.007298,-0.039949,1.365653,-0.279923,-0.057496,1.457460,-0.193710,-0.064253,1.488467,-0.155322,-0.103641,1.517344,-0.121570,-0.051579,1.542540,-0.086897,-0.057446,1.457487,-0.193673,-0.064338,1.488428,-0.155376,-0.096024,1.518300,-0.120224,-0.051544,1.542551,-0.086881,,,,,,,,,,,,,,,,-0.062986,1.287383,-0.475006,-0.007389,1.358994,-0.471982,0.048386,1.284124,-0.471003
23,0.095833,0.077801,-0.331257,-0.940301,0.007132,-0.039943,1.365609,-0.279937,-0.057495,1.457444,-0.193756,-0.064256,1.488463,-0.155378,-0.103648,1.517360,-0.121648,-0.051592,1.542552,-0.086964,-0.057446,1.457467,-0.193724,-0.064341,1.488423,-0.155433,-0.096036,1.518300,-0.120294,-0.051557,1.542568,-0.086941,,,,,,,,,,,,,,,,-0.062989,1.287387,-0.475010,-0.007389,1.358989,-0.471976,0.048380,1.284109,-0.471009
24,0.100000,0.077808,-0.331318,-0.940277,0.007244,-0.039926,1.365580,-0.279978,-0.057493,1.457425,-0.193809,-0.064258,1.488448,-0.155436,-0.103654,1.517342,-0.121707,-0.051601,1.542549,-0.087030,-0.057441,1.457447,-0.193778,-0.064347,1.488411,-0.155487,-0.096042,1.518294,-0.120361,-0.051565,1.542563,-0.087010,,,,,,,,,,,,,,,,-0.062994,1.287374,-0.475006,-0.007392,1.358988,-0.471983,0.048376,1.284123,-0.471007
25,0.104167,0.078037,-0.331471,-0.940208,0.006771,-0.039929,1.365519,-0.279989,-0.057491,1.457399,-0.193857,-0.064262,1.488437,-0.155496,-0.103661,1.517370,-0.121805,-0.051615,1.542546,-0.087095,-0.057439,1.457422,-0.193825,-0.064350,1.488401,-0.155547,-0.096052,1.518285,-0.120427,-0.051579,1.542559,-0.087077,,,,,,,,,,,,,,,,-0.062991,1.287368,-0.475015,-0.007401,1.358992,-0.471981,0.048376,1.284115,-0.471005
